FinalProcessedData,Assignment group,TextToSequence,WordLength
skype error,GRP_0,"[55, 27]",2
erp print tool install,GRP_0,"[7, 120, 10, 161]",4
install acrobat standard,GRP_0,"[161, 1994, 1597]",3
problem bluescreen hello happen pc hang present blue screen white letter,GRP_24,"[51, 1208, 28, 291, 121, 687, 1397, 596, 141, 1076, 1598]",11
reset password fygrwuna gomcekzi email please email please new manager,GRP_0,"[6, 4, 1995, 1996, 34, 5, 34, 5, 62, 57]",10
problem drive z laeusvjo fvaihgpx,GRP_24,"[51, 126, 1398, 1599, 1600]",5
new password account name tgryhu hgygrtui hgygrtui no longer work employee present kw early shift,GRP_0,"[62, 4, 15, 58, 3008, 1997, 1997, 8, 378, 16, 129, 1397, 3009, 772, 984]",15
eu tool slow adgtym ywqgrbnx jwnsyzbv jionmpsf wnkpzcmv,GRP_24,"[190, 10, 201, 3010, 3011, 3012, 564, 565]",8
pick old eq wrcktgbd wzrgyunp,GRP_24,"[1077, 226, 3013, 773, 774]",5
probleme lan tgeyd wu wrcktgbd wzrgyunp,GRP_24,"[264, 597, 3014, 501, 773, 774]",6
block account,GRP_0,"[184, 15]",2
install eu tool laeusvjo fvaihgpx,GRP_24,"[161, 190, 10, 1599, 1600]",5
problem portal knlrgsiv cqvuexjz,GRP_24,"[51, 167, 1998, 1999]",4
setup rechner ewel frhr hr thrydad consult consulting puxsvfwr cwkjruni fnr,GRP_24,"[186, 716, 1399, 3015, 153, 3016, 3017, 2000, 1400, 1401, 3018]",11
please reactivate account ewel laptop hr auditor trhfyd sugajadd active call back back fyi mfyivqes cpihaxbs broadcast tuesday october pm ughzilfm cfibdamq subject rhfyd back hello please open ticker help greeting,GRP_0,"[5, 1402, 15, 1399, 174, 153, 2001, 3019, 3020, 88, 60, 155, 155, 822, 2002, 2003, 1601, 520, 248, 70, 823, 824, 119, 3021, 155, 28, 5, 45, 3022, 29, 688]",31
problem erpgui tmqfjard qzhgdoua,GRP_24,"[51, 825, 1078, 1079]",4
replace illustrated tape printer vepxdgot poezmwny,GRP_24,"[902, 3023, 1080, 93, 3024, 3025]",6
problem fuser unit qvncizuf ueiybanz,GRP_24,"[51, 3026, 1209, 1602, 1603]",5
erp lock fail attempt password please unlock erp,GRP_0,"[7, 30, 14, 304, 4, 5, 64, 7]",8
problem bluescreen hello computer workplace get car display blue screen white letter please look site,GRP_24,"[51, 1208, 28, 97, 3027, 33, 3028, 325, 596, 141, 1076, 1598, 5, 244, 59]",15
problem lan computer erosion machine dtlmbcrx mwuateyx lan,GRP_24,"[51, 597, 97, 3029, 315, 1403, 1404, 597]",8
printer lwe uacyltoe hxgayczeraum knicrhtyt paper dtlmbcrx mwuateyx,GRP_24,"[93, 2004, 191, 2005, 3030, 1604, 1403, 1404]",8
reinstall hardcopy und eu tool lndypaqg dhqwtcsr,GRP_24,"[475, 1605, 386, 190, 10, 1606, 1607]",7
output error message message register network register network setting not operation wait moment vzqomdgt jwoqbuml,GRP_24,"[653, 27, 46, 46, 502, 20, 502, 20, 351, 3, 598, 826, 717, 621, 622]",15
calculator length measure machine uacyltoe hxgayczeen xosdfhbu gtbfkisl,GRP_24,"[985, 1405, 903, 315, 191, 3031, 1608, 1609]",8
cable lan supply gogtyekhan merdivan,GRP_24,"[1406, 597, 258, 2006, 1610]",5
backup computer lasplant pfjwinbg ljtzbdqg,GRP_24,"[80, 97, 2007, 904, 905]",5
collaboration platform not available no internet access,GRP_0,"[118, 116, 3, 133, 8, 72, 23]",7
please set user gogtyektdgwo correctly registration network drive miss,GRP_12,"[5, 205, 12, 3032, 439, 718, 20, 126, 316]",9
support roboworker sandblasting xwirzvda okhyipgr,GRP_24,"[180, 1210, 3033, 906, 907]",5
setup new ws lndypaqg dhqwtcsr,GRP_24,"[186, 62, 275, 1606, 1607]",5
problem barcode label volume format big vzqomdgt jwoqbuml,GRP_24,"[51, 827, 566, 352, 1081, 1611, 621, 622]",8
setup new ws br usalikfj lfmpxbcn,GRP_24,"[186, 62, 275, 1612, 2008, 2009]",6
monitor length measure machine defective good morning hkydrfdw defective please provide replacement short notice thank,GRP_24,"[281, 1405, 903, 315, 542, 69, 164, 3034, 542, 5, 162, 986, 908, 599, 293]",15
release folder application cut please,GRP_0,"[476, 138, 143, 1407, 5]",5
password receive hello ask reset password lock crm erp vpn hello password vpn good regard,GRP_0,"[4, 2, 28, 214, 6, 4, 30, 91, 7, 40, 28, 4, 40, 69, 195]",15
please set scanner printer reset factory setting konica,GRP_24,"[5, 205, 600, 93, 6, 1613, 351, 3035]",8
probleme mit login br usalikfj lfmpxbcn,GRP_24,"[264, 147, 21, 1612, 2008, 2009]",6
impact award receive hello not log award program reset password good regard lzvdyouh imqgfadb,GRP_0,"[399, 567, 2, 28, 3, 50, 567, 2010, 6, 4, 69, 195, 3036, 3037]",14
defective fan industrial control monitor nipt wdq csenjruz defective,GRP_24,"[542, 1408, 987, 719, 281, 1614, 1615, 601, 542]",9
reinstall win qidgvtwa qvbutayx,GRP_24,"[475, 720, 1082, 1083]",4
problem camera monitor good morning dhthykts connect new monitor need cable hdmi light gray connection dell least first build alternative course also open,GRP_24,"[51, 2011, 281, 69, 164, 3038, 42, 62, 281, 32, 1406, 3039, 1084, 2012, 152, 317, 775, 365, 1409, 3040, 988, 158, 45]",23
problem fp calculator stuck ksxchbaf rhquvzfm,GRP_24,"[51, 2013, 985, 1410, 3041, 3042]",6
connection internet server not possible due administration right error message mail process aborted restriction please contact system administrator no hyperlink open,GRP_0,"[152, 72, 67, 3, 249, 318, 1616, 309, 27, 46, 148, 277, 3043, 2014, 5, 49, 38, 400, 8, 3044, 45]",21
unlock erp account please fygrwuna gomcekzi,GRP_0,"[64, 7, 15, 5, 1995, 1996]",6
connection printer em pc eemw not establish,GRP_0,"[152, 93, 1211, 121, 1085, 3, 1411]",7
fc eweausbildung jannek hndle hello please access department training folder hndle good regard,GRP_12,"[828, 3045, 3046, 2015, 28, 5, 23, 423, 602, 138, 2015, 69, 195]",13
erp react extremely slowly transaction take long,GRP_0,"[7, 3047, 3048, 3049, 521, 192, 568]",7
fc hostname skline user mokolthrla hello please read set write permission niptbwdq csenjruz discuss sbtvploj mwtrouyl greeting lhmxposv lnpgjhus head technical services department managing director phvkowml azbtkqwx naruedlk mpvhakdq register office germany registergerirtcht list court register germany personally liable partner general partner company beteiligung gmbh register frth bay regster furth csenjruz send monday october th pm jionmpsf wnkpzcmv xmlbfjpg yegzbvru dhoalycb yopvwrjq lhmxposv lnpgjhus mwtrouyl joerg passiep cwryvksu cedsairg subject aw machine conversion not work good regard niptbwdq csenjruz service center maintenance,GRP_12,"[828, 37, 3050, 12, 3051, 28, 5, 366, 205, 411, 569, 654, 601, 1617, 3052, 2016, 688, 2017, 2018, 1212, 603, 259, 423, 2019, 503, 504, 505, 506, 477, 502, 122, 203, 1412, 282, 2020, 502, 203, 1086, 1618, 543, 570, 543, 17, 2021, 379, 502, 689, 2022, 2023, 3053, 601, 65, 326, 248, 604, 70, 564, 565, 1213, 1214, 2024, 2025, 2017, 2018, 2016, 3054, 3055, 3056, 3057, 119, 989, 315, 990, 3, 16, 69, 195, 654, 601, 176, 353, 98]",82
